product,product_page,platform,marketplace_url
BL Smart Deal Finder for Shop,https://backlip.com/product/bl-smart-deal-finder-for-shop/,Shop app,https://shop.app/mini/bl-smart-deal-finder
Default Values Auto-Fill Fields for Jira,https://backlip.com/product/default-values-auto-fill-fields-for-jira/,Atlassian,https://marketplace.atlassian.com/apps/4044668500/default-values-auto-fill-fields-for-jira
BACKLIP Confetti Effects for Ecwid,https://backlip.com/product/backlip-confetti-effects-for-ecwid/,Ecwid,https://www.ecwid.com/de/apps/featured/bl-confetti
BL Holiday & Seasonal Effects for Wix,https://backlip.com/product/bl-holiday-seasonal-effects-for-wix/,Wix,https://www.wix.com/app-market/bl-holiday-seasonal-effects
BL Bulk Product Editor for Shopify & Wix,https://backlip.com/product/bl-bulk-product-editor-for-shopify-wix/,Shopify,https://apps.shopify.com/bl-bulk-product-edit
BL Bulk Product Editor for Shopify & Wix,https://backlip.com/product/bl-bulk-product-editor-for-shopify-wix/,Wix,https://www.wix.com/app-market/backlip-bl-bulk-product-editor
"BL Cursor Effects for Wix, Ecwid & Cafe24",https://backlip.com/product/enhance-user-engagement-with-bl-cursor-effects-the-magical-cursor-animation-solution-for-wix-websites-make-your-website-stand-out-with-custom-interactive-cursor-effects-that-wow-visitors-a/,Wix,https://www.wix.com/app-market/978d05d8-966c-4dbb-8cd0-a1fc6580ad41
"BL Cursor Effects for Wix, Ecwid & Cafe24",https://backlip.com/product/enhance-user-engagement-with-bl-cursor-effects-the-magical-cursor-animation-solution-for-wix-websites-make-your-website-stand-out-with-custom-interactive-cursor-effects-that-wow-visitors-a/,Ecwid,https://www.ecwid.com/apps/design/bl-cursor-effects-prod
"BL Cursor Effects for Wix, Ecwid & Cafe24",https://backlip.com/product/enhance-user-engagement-with-bl-cursor-effects-the-magical-cursor-animation-solution-for-wix-websites-make-your-website-stand-out-with-custom-interactive-cursor-effects-that-wow-visitors-a/,Cafe24,https://store.cafe24.com/us/apps/35629
BL Stock Counter for Shopify & Wix,https://backlip.com/product/boost-conversions-and-reduce-cart-abandonment-with-bl-stock-counter-the-inventory-display-and-urgency-tool-for-shopify-show-real-time-stock-levels-and-create-compelling-purchase-urgency-wit/,Shopify,https://apps.shopify.com/bl-stock-counter
BL Stock Counter for Shopify & Wix,https://backlip.com/product/boost-conversions-and-reduce-cart-abandonment-with-bl-stock-counter-the-inventory-display-and-urgency-tool-for-shopify-show-real-time-stock-levels-and-create-compelling-purchase-urgency-wit/,Wix,https://www.wix.com/app-market/bl-stock-counter
BL POS Quick Product Notes for Shopify POS,https://backlip.com/product/bl-pos-quick-product-notes-add-pre-made-cart-notes-templates-for-shopify-pos/,Shopify,https://apps.shopify.com/bl-pos-quick-note
BL Payment Icons Trust Badges for Shopify,https://backlip.com/product/bl-payment-icons-trust-badges-payment-methods-security-trust-badges-for-shopify/,Shopify,https://apps.shopify.com/bl-payment-icons-trust-badges
"BL Bulk Product Image Uploader for Shopify, Wix, WooCommerce & Shopware",https://backlip.com/product/bl-bulk-product-image-uploader-smart-batch-image-upload-tool-for-shopify/,Shopify,https://apps.shopify.com/bl-product-images-bulk-upload
"BL Bulk Product Image Uploader for Shopify, Wix, WooCommerce & Shopware",https://backlip.com/product/bl-bulk-product-image-uploader-smart-batch-image-upload-tool-for-shopify/,Wix,https://www.wix.com/app-market/web-solution/bl-bulk-product-image-upload
"BL Bulk Product Image Uploader for Shopify, Wix, WooCommerce & Shopware",https://backlip.com/product/bl-bulk-product-image-uploader-smart-batch-image-upload-tool-for-shopify/,WooCommerce,https://woocommerce.com/products/bl-bulk-image-uploader/
"BL Bulk Product Image Uploader for Shopify, Wix, WooCommerce & Shopware",https://backlip.com/product/bl-bulk-product-image-uploader-smart-batch-image-upload-tool-for-shopify/,Shopware,https://store.shopware.com/en/backl97911111958/bl-bulk-product-image-uploader.html
BL Image Slider & Carousel for Shopify,https://backlip.com/product/bl-image-slider/,Shopify,https://apps.shopify.com/bl-image-slider
BL Product Tabs & Accordions for Shopify,https://backlip.com/product/bl-product-tabs/,Shopify,https://apps.shopify.com/bl-product-tabs
BL Country Blocker for Shopify & Wix,https://backlip.com/product/bl-country-blocker/,Shopify,https://apps.shopify.com/bl-country-blocker
BL Country Blocker for Shopify & Wix,https://backlip.com/product/bl-country-blocker/,Wix,https://www.wix.com/app-market/bl-country-blocker
BL Checkout Confetti Effects for Shopify,https://backlip.com/product/bl-checkout-confetti-effects/,Shopify,https://apps.shopify.com/bl-checkout-confetti
BL Discount Coupon Code Game for Shopify & Wix,https://backlip.com/product/bl-discount-coupon-code-game/,Shopify,https://apps.shopify.com/bl-discount-coupon-code-game
BL Discount Coupon Code Game for Shopify & Wix,https://backlip.com/product/bl-discount-coupon-code-game/,Wix,https://www.wix.com/app-market/bl-discount-coupon-code-game
BL Free Shipping Bar for Wix,https://backlip.com/product/bl-free-shipping-bar/,Wix,https://www.wix.com/app-market/bl-free-shipping-bar
BL Social Icons Bar for Wix & Ecwid,https://backlip.com/product/bl-social-icons-bar/,Wix,https://www.wix.com/app-market/bl-social-icons-bar
